x,y,extruding
126.316,91.774,1
109.306,114.217,1
99.177,125.042,1
93.729,101.128,1
99.548,125.794,1
92.95,101.753,1
100.119,126.633,1
92.194,102.434,1
101.172,127.695,1
91.445,103.161,1
108.209,106.464,1
106.046,110.284,1
108.837,113.362,1
111.276,112.881,1
112.7,110.356,1
92.129,106.424,1
106.983,113.017,1
106.855,128.263,1
91.863,106.191,1
106.786,128.664,1
91.465,106.107,1
106.717,129.066,1
91.066,106.024,1
108.076,129.681,1
90.646,105.936,1
106.187,108.915,1
106.607,112.033,1
110.774,113.471,1
112.985,111.007,1
112.203,108.399,1
91.807,108.891,1
101.537,93.861,1
109.007,105.844,1
91.502,111.128,1
109.557,91.474,1
91.095,111.152,1
109.545,91.067,1
90.689,111.177,1
109.532,90.659,1
90.261,111.203,1
109.519,90.231,1
110.302,113.954,1
113.539,109.65,1
111.551,107.258,1
109.374,107.348,1
128.226,95.612,1
96.574,122.327,1
108.996,91.814,1
91.863,113.809,1
105.531,92.016,1
91.676,114.79,1
105.433,91.62,1
91.282,114.893,1
105.334,91.225,1
90.867,115.002,1
105.231,90.809,1
112.37,113.176,1
113.211,108.472,1
110.383,106.87,1
107.948,108.208,1
92.414,115.442,0
110.968,91.779,1
105.751,109.589,1
93.729,118.872,1
101.326,93.624,1
92.95,118.247,1
102.386,92.659,1
92.194,117.566,1
102.22,92.287,1
91.445,116.839,1
102.935,91.53,1
112.37,113.176,1
112.325,107.309,1
108.624,107.165,1
107.289,109.716,1
107.359,110.67,1
109.306,114.217,1
116.709,91.777,1
94.669,120.413,1
97.973,95.901,1
94.869,121.392,1
96.685,96.531,1
95.129,122.375,1
95.749,96.915,1
95.433,123.375,1
94.799,97.351,1
111.892,106.518,1
107.795,107.208,1
106.451,109.958,1
107.411,111.797,1
110.121,112.722,1
126.316,91.774,1
110.199,114.269,1
99.772,125.455,1
93.317,101.93,1
101.545,126.947,1
92.569,102.593,1
102.65,127.896,1
91.847,103.309,1
103.843,128.792,1
91.134,104.073,1
106.937,107.484,1
106.189,111.091,1
110.288,113.545,1
112.985,111.007,1
112.403,108.717,1
128.226,118.64,1
105.962,108.604,1
109.557,128.526,1
91.632,107.534,1
109.545,128.933,1
91.229,107.477,1
109.532,129.341,1
90.723,108.353,1
109.519,129.769,1
90.296,108.317,1
106.046,109.687,1
107.764,113.274,1
112.106,112.866,1
113.069,109.29,1
111.372,107.647,1
91.802,110.992,1
103.076,93.14,1
108.22,106.114,1
91.699,112.921,1
108.197,91.557,1
91.297,112.986,1
108.157,91.151,1
90.895,113.05,1
108.118,90.746,1
90.472,113.117,1
106.644,90.512,1
109.532,113.935,1
113.38,111.104,1
112.858,108.674,1
110.347,107.298,1
92.162,113.746,1
105.962,108.604,1
128.226,118.64,1
92.319,115.555,1
102.951,92.861,1
92.229,116.55,1
101.957,92.853,1
92.194,117.566,1
101.229,92.757,1
92.198,118.611,1
100.321,92.755,1
113.776,111.202,1
111.045,106.6,1
107.599,107.958,1
107.286,109.984,1
107.829,111.646,1
114.805,91.777,1
106.577,112.559,1
95.755,121.854,1
96.349,97.466,1
96.049,122.809,1
95.442,97.885,1
97.447,124.721,1
94.544,98.363,1
97.914,125.652,1
93.641,98.889,1
110.342,106.051,1
106.858,108.331,1
106.572,110.953,1
108.353,112.687,1
111.07,112.505,1
128.409,95.429,1
109.306,114.217,1
102.96,127.142,1
92.611,103.591,1
104.103,127.997,1
91.931,104.323,1
105.334,128.775,1
91.282,105.107,1
106.644,129.488,1
90.472,106.883,1
106.184,108.929,1
106.977,112.55,1
111.471,113.238,1
113.128,110.371,1
112.203,108.399,1
91.807,108.891,1
128.226,120.55,1
109.007,105.844,1
91.535,111.578,1
109.557,91.474,1
91.129,111.612,1
109.545,91.067,1
90.723,111.647,1
109.532,90.659,1
90.296,111.683,1
109.519,90.231,1
110.892,113.861,1
113.404,108.963,1
110.954,106.997,1
108.36,107.824,1
120.548,91.776,1
109.007,105.844,1
128.226,107.126,1
94.181,119.654,1
100.161,94.295,1
94.333,120.642,1
97.708,95.591,1
94.544,121.637,1
96.4,96.24,1
94.799,122.649,1
95.433,96.625,1
112.568,106.982,1
107.795,107.208,1
106.441,110.04,1
108.353,112.687,1
111.07,112.505,1
120.732,128.407,1
